dataset,metric,baseline,aafnet,delta_pp,higher_is_better
AL6,Clean acc,0.9868421052631577,0.9913742690058478,0.4532163742690054,True
AL6,Strict acc,0.9932885906040269,0.9932885906040269,0.0,True
AL6,Retr. Top1,0.9796875,0.9928571428571429,1.3169642857142838,True
AL6,Retr. mAP,0.9888169642857143,0.9962053571428571,0.7388392857142767,True
AL6,Near-dup AUROC,0.977875,1.0,2.212499999999995,True
AL6,OOD AUROC,,,,True
AL6,Few-shot acc,,,,True
ASP_clean,Clean acc,0.7303665910808769,0.7358843537414967,0.5517762660619874,True
ASP_clean,Strict acc,0.70147954743255,0.7220771685523644,2.0597621119814336,True
ASP_clean,Retr. Top1,0.19167140420693576,0.18996588971006254,-0.17055144968732283,True
ASP_clean,Retr. mAP,0.3956449709882058,0.3949659235496359,-0.06790474385698908,True
ASP_clean,Near-dup AUROC,0.9318999999999998,0.9998,6.790000000000019,True
ASP_clean,OOD AUROC,0.9448552325733892,0.9654521632366551,2.0596930663265844,True
ASP_clean,Few-shot acc,0.4345333333333333,0.42466666666666664,-0.986666666666669,True
AS25_clean,Clean acc,0.6681527206218564,0.6766117969821673,0.8459076360310958,True
AS25_clean,Strict acc,0.6302903112976566,0.6474291710388248,1.7138859741168244,True
AS25_clean,Retr. Top1,0.13362158422691112,0.13545485991006573,0.18332756831546115,True
AS25_clean,Retr. mAP,0.28320751649059533,0.2828130752452783,-0.03944412453170121,True
AS25_clean,Near-dup AUROC,0.9442,0.99995,5.574999999999997,True
AS25_clean,OOD AUROC,0.943546315935776,0.9669905670068829,2.3444251071106925,True
AS25_clean,Few-shot acc,0.5704,0.5388,-3.1600000000000072,True
