dataset,model,metric,value
AL6,baseline,all_corruption_mean,0.7273127753303965
AL6,baseline,gauss_noise,0.13362701908957417
AL6,baseline,motion_blur,0.6732745961820852
AL6,baseline,jpeg_compress,0.9713656387665198
AL6,baseline,brightness,0.908223201174743
AL6,baseline,occlusion,0.9500734214390603
AL6,aafnet,all_corruption_mean,0.9026431718061673
AL6,aafnet,gauss_noise,0.881791483113069
AL6,aafnet,motion_blur,0.7584434654919235
AL6,aafnet,jpeg_compress,0.9559471365638766
AL6,aafnet,brightness,0.9456681350954478
AL6,aafnet,occlusion,0.9713656387665198
ASP_clean,baseline,all_corruption_mean,0.4942065967299876
ASP_clean,baseline,gauss_noise,0.11492297514412626
ASP_clean,baseline,motion_blur,0.37246006993667896
ASP_clean,baseline,jpeg_compress,0.6742273887156224
ASP_clean,baseline,brightness,0.6611851431811738
ASP_clean,baseline,occlusion,0.6482374066723371
ASP_clean,aafnet,all_corruption_mean,0.638805405916265
ASP_clean,aafnet,gauss_noise,0.6351951611378887
ASP_clean,aafnet,motion_blur,0.468481239958416
ASP_clean,aafnet,jpeg_compress,0.7042812588602212
ASP_clean,aafnet,brightness,0.695869955580758
ASP_clean,aafnet,occlusion,0.6901994140440412
AS25_clean,baseline,all_corruption_mean,0.4206904435299498
AS25_clean,baseline,gauss_noise,0.04012345679012346
AS25_clean,baseline,motion_blur,0.2861225422953818
AS25_clean,baseline,jpeg_compress,0.6067672610882487
AS25_clean,baseline,brightness,0.590877914951989
AS25_clean,baseline,occlusion,0.5795610425240055
AS25_clean,aafnet,all_corruption_mean,0.5531321444901691
AS25_clean,aafnet,gauss_noise,0.5571559213534522
AS25_clean,aafnet,motion_blur,0.3503657978966621
AS25_clean,aafnet,jpeg_compress,0.6316872427983539
AS25_clean,aafnet,brightness,0.6240283493369914
AS25_clean,aafnet,occlusion,0.6024234110653864
